genus,family
Abditomys,Muridae
Abeomelomys,Muridae
Abrawayaomys,Cricetidae
Abrocoma,Abrocomidae
Abrothrix,Cricetidae
Acerodon,Pteropodidae
Acinonyx,Felidae
Acomys,Muridae
Aconaemys,Octodontidae
Acrobates,Acrobatidae
Addax,Bovidae
Aegialomys,Cricetidae
Aepeomys,Cricetidae
Aepyceros,Bovidae
Aepyprymnus,Potoroidae
Aeretes,Sciuridae
Aeromys,Sciuridae
Aethalops,Pteropodidae
Aethomys,Muridae
Ailuropoda,Ursidae
Ailurops,Phalangeridae
Ailurus,Ailuridae
Akodon,Cricetidae
Alcelaphus,Bovidae
Alces,Cervidae
Alionycteris,Pteropodidae
Allactaga,Dipodidae
Allactodipus,Dipodidae
Allenopithecus,Cercopithecidae
Allocebus,Cheirogaleidae
Allocricetulus,Cricetidae
Alouatta,Atelidae
Alticola,Cricetidae
Amblysomus,Chrysochloridae
Ametrida,Phyllostomidae
Ammodillus,Muridae
Ammodorcas,Bovidae
Ammospermophilus,Sciuridae
Ammotragus,Bovidae
Amorphochilus,Furipteridae
Amphinectomys,Cricetidae
Anathana,Tupaiidae
Andalgalomys,Cricetidae
Andinomys,Cricetidae
Anisomys,Muridae
Anomalurus,Anomaluridae
Anonymomys,Muridae
Anotomys,Cricetidae
Anoura,Phyllostomidae
Anourosorex,Soricidae
Antechinomys,Dasyuridae
Antechinus,Dasyuridae
Anthops,Hipposideridae
Antidorcas,Bovidae
Antilocapra,Antilocapridae
Antilope,Bovidae
Antrozous,Vespertilionidae
Aonyx,Mustelidae
Aotus,Aotidae
Aplodontia,Aplodontiidae
Apodemus,Muridae
Apomys,Muridae
Aproteles,Pteropodidae
Arabitragus,Bovidae
Arborimus,Cricetidae
Archaeolemur,Archaeolemuridae
Archboldomys,Muridae
Arctictis,Viverridae
Arctocebus,Lorisidae
Arctocephalus,Otariidae
Arctodus,Ursidae
Arctogalidia,Viverridae
Arctonyx,Mustelidae
Ardops,Phyllostomidae
Arielulus,Vespertilionidae
Ariteus,Phyllostomidae
Artibeus,Phyllostomidae
Arvicanthis,Muridae
Arvicola,Cricetidae
Asellia,Hipposideridae
Aselliscus,Hipposideridae
Atelerix,Erinaceidae
Ateles,Atelidae
Atelocynus,Canidae
Atherurus,Hystricidae
Atilax,Herpestidae
Atlantoxerus,Sciuridae
Auliscomys,Cricetidae
Avahi,Indriidae
Axis,Cervidae
Babyrousa,Suidae
Baiomys,Cricetidae
Baiyankamys,Muridae
Balaena,Balaenidae
Balaenoptera,Balaenopteridae
Balantiopteryx,Emballonuridae
Balionycteris,Pteropodidae
Bandicota,Muridae
Barbastella,Vespertilionidae
Bassaricyon,Procyonidae
Bassariscus,Procyonidae
Bathyergus,Bathyergidae
Batomys,Muridae
Bauerus,Vespertilionidae
Bdeogale,Herpestidae
Beamys,Nesomyidae
Beatragus,Bovidae
Belomys,Sciuridae
Berardius,Hyperoodontidae
Berylmys,Muridae
Bettongia,Potoroidae
Bibimys,Cricetidae
Bison,Bovidae
Biswamoyopterus,Sciuridae
Blanfordimys,Cricetidae
Blarina,Soricidae
Blarinella,Soricidae
Blarinomys,Cricetidae
Blastocerus,Cervidae
Boromys,Echimyidae
Bos,Bovidae
Boselaphus,Bovidae
Brachiones,Muridae
Brachylagus,Leporidae
Brachyphylla,Phyllostomidae
Brachytarsomys,Nesomyidae
Brachyteles,Atelidae
Brachyuromys,Nesomyidae
Bradypus,Bradypodidae
Brotomys,Echimyidae
Brucepattersonius,Cricetidae
Bubalus,Bovidae
Budorcas,Bovidae
Bullimus,Muridae
Bunolagus,Leporidae
Bunomys,Muridae
Burramys,Burramyidae
Cabassous,Dasypodidae
Cacajao,Pitheciidae
Caenolestes,Caenolestidae
Calassomys,Cricetidae
