species,genus,family,species.relative,genus.relative
Neohylomys hainanensis,Neohylomys,,,
Mogera insularis,Mogera,,,
Crocidura attenuata,Crocidura,,,
Crocidura horsfieldi,Crocidura,,,
Crocidura russula,Crocidura,,,
Rousettus leschenaulti,Rousettus,,,
Taphozous melanopogon,Taphozous,,,
Rhinolophus affinis,Rhinolophus,,,
Rhinolophus cornutus,Rhinolophus,,,
Rhinolophus luctus,Rhinolophus,,,
Rhinolophus rouxii,Rhinolophus,,,
Hipposideros armiger,Hipposideros,,,
Hipposideros bicolor,Hipposideros,,,
Hipposideros larvatus,Hipposideros,,,
Kerivoula picta,Kerivoula,,,
Miniopterus australis,Miniopterus
Miniopterus schreibersi,Miniopterus
Myotis daubentoni,Myotis
Myotis myotis,Myotis
Pipistrellus abramus,Pipistrellus
Pipistrellus ceylonicus,Pipistrellus
Pipistrellus coromandra,Pipistrellus
Pipistrellus pulveratus,Pipistrellus
Scotomanes ornatus,Scotomanes
Scotophilus heathi,Scotophilus
Tupaia glis,Tupaia
Macaca mulatta,Macaca
Hylobates concolor,Hylobates
Manis pentadactyla,Manis
Selenarctos thibetanus,Selenarctos
Aonyx cinerea,Aonyx
Lutra lutra,Lutra
Martes flavigula,Martes
Melogale moschata,Melogale
Mmustela kathiah,Mmustela
Herpestes javanicus,Herpestes
Herpestes urva,Herpestes
Paguma larvata,Paguma
Paradoxurus hermaphroditus,Paradoxurus
Viverra zibetha,Viverra
Viverricula indica,Viverricula
Felis bengalensis,Felis
Neofelis nebulosa,Neofelis
Lepus hainanus,Lepus
Belomys pearsonii,Belomys
Hylopetes alboniger,Hylopetes
Petaurista hainana,Petaurista
Petinomys electilis,Petinomys
Callosciurus erythraeus,Callosciurus
Dremomys rufigenis,Dremomys
Ratufa bicolor,Ratufa
Tamiops swinhoei,Tamiops
Atherurus macrourus,Atherurus
Hystrix hodgsoni,Hystrix
Chiropodomys gliroides,Chiropodomys
Hapalomys longicaudatus,Hapalomys
Mus musculus,Mus
Rattus edwardsi,Rattus
Rattus flavipectus,Rattus
Rattus fulvescens,Rattus
Rattus nitidus,Rattus
Rattus niviventer,Rattus
Rattus rattoides,Rattus
Rattus rattus,Rattus
Sus scrofa,Sus
Cervus eldi,Cervus
Cervus unicolor,Cervus
Muntiacus muntjak,Muntiacus
