"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"F","Tachyglossidae","","N25",-128.924372832454,"N26",14.111566939,2,4,""
"F","Ornithorhynchidae","","N25",29.83242218,"N25",29.83242218,1,1,"Ornithorhynchus_anatinus"
"F","Unknownidae","","N17",86.63197,"N18",126.949303,1,27,""
"F","Trichechidae","","N60",-152.084518005,"N61",1.343183778,1,3,""
"F","Dugongidae","","N60",6.672265816,"N60",6.672265816,1,1,"Dugong_dugon"
"F","Mammutidae","","N66",-155.545198123,"N67",0.8773990233,1,2,""
"F","Elephantidae","","N66",-155.545198123,"N68",1.250765759,1,3,""
"F","Procaviidae","","N63",-119.959780964,"N70",7.771389933,3,5,""
"F","Orycteropodidae","","N74",60.06591895,"N74",60.06591895,1,1,"Orycteropus_afer"
"F","Macroscelididae","","N75",-99.1443358266,"N76",50.640814471,4,19,""
"F","Tenrecidae","","N94",-102.2588730966,"N95",45.22009194,10,34,""
"F","Chrysochloridae","","N94",-102.2588730966,"N128",44.59899406,10,21,""
"F","Dasypodidae","","N148",-95.10796929,"N149",39.5630680165,9,21,""
"F","Myrmecophagidae","","N170",-115.976812296,"N171",7.979899091,2,3,""
"F","Cyclopedidae","","N170",42.77997191,"N170",42.77997191,1,1,"Cyclopes_didactylus"
"F","Mylodontidae","","N174",13.55495621,"N174",13.55495621,1,1,"Mylodon_darwinii"
"F","Megalonychidae","","N174",-145.201835873,"N175",4.747102664,1,2,""
"F","Nothrotheriidae","","N176",19.24886197,"N176",19.24886197,1,1,"Nothrotheriops_shastensis"
"F","Bradypodidae","","N176",-139.507930505,"N177",15.475031435,1,4,""
"F","Nesophontidae","","N196",-149.225688971,"N197",6.970918028,1,6,""
"F","Talpidae","","N184",-110.937554698,"N189",36.49243483,12,33,""
"F","Erinaceidae","","N233",-82.162743856,"N234",50.31916353,10,24,""
"F","Soricidae","","N233",-82.162743856,"N257",58.1977090359,25,414,""
